key,القيمة
lang_symbol,رمز
lang_search,لغة البحث
lang_edit,تحرير اللغة
success_lang_edit,تم تحديث اللغة بنجاح
success_lang_add,تم إضافة اللغة بنجاح
success_lang_delete,تم حذف اللغة بنجاح
err_lang_name,يرجى تقديم اسم اللغة
err_lang_len,يجب أن يكون طول اسم اللغة أكبر من 4
err_lang_exist,وجدت اسم اللغة بالفعل في النظام
delete_lang_label,حذف اللغة؟
lang_delete_confirm_message,هل تريد حذف جميع سلسلة بموجب ذلك جنبا إلى جنب اللغة؟
lang_yes_all_label,نعم جميعا
lang_no_only_label,فقط اللغة
lang_yes_all_message,نعم جميع - اللغة وحدات وحذف من النظام.
language_id,لغة
lang_string_key,مفتاح
lang_string_value,القيمة
lang_string_info,معلومات سلسلة اللغة
select_language,اللغة المختارة
btn_import,استيراد
csv_symbol_link,نموذج ملف CSV هنا
lang_str_search,بحث سلسلة اللغة
success_langstr_import,سلسلة اللغة بنجاح تحميل ملف CSV
lang_str_add,إضافة سلسلة اللغة
lang_str_edit,تحرير سلسلة اللغة
success_lang_str_edit,تم تحديث سلسلة اللغة بنجاح
success_lang_str_add,تمت إضافة سلسلة اللغة بنجاح
err_lang_str_name,يرجى تقديم لغة اسم سلسلة
err_lang_str_len,يجب أن يكون طول سلسلة لغة أكبر من 4
err_lang_str_exist,وجدت سلسلة اللغة بالفعل في النظام
lang_title,اللغة محذوفة؟
lang_warning,لا يمكنك حذف اللغة النشطة.
btn_ok,حسنا
list_lang_label,اللغات
list_lang_str_label,لغة سلاسل
err_lang_symbol,يرجى تقديم رمز اللغة
pls_att_name,يرجى اسم السمة التفاصيل
remove_label,إزالة
btn_no,لا
pls_city_name,إرضاء مدينة اسم
pls_collect_name,إرضاء اسم مجموعة
pls_dis_percent,الرجاء الخصم في المئة
pls_prd_name,يرجى اسم المنتج
pls_highlight_info,يرجى تسليط الضوء على معلومات
pls_code,الرجاء إدخال الرمز
pls_unit_price,يرجى سعر الوحدة
pls_shipping_cost,يرجى كلف الشحن
pls_minimum_order,يرجى الحد الأدنى للطلب
pls_prd_measurement,يرجى قياس المنتج
pls_prd_unit,يرجى حدة المنتج
pls_search_tag,يرجى بحث دلالية
pls_prd_desc,يرجى وصف المنتج
pls_shipping_name,الرجاء شحن اسم حزمة
per_order_post,في النظام التكلفة
pls_sub_cat,يرجى اسم الفئة الفرعية
pls_zone_name,إرضاء اسم المنطقة
success_reset_email_sent,يتم إرسال البريد الإلكتروني بنجاح إعادة تعيين
err_touch_count,عدد مشكلة في اللمس!
coupon_not_found,رمز القسيمة غير صالح.
require_user_id,مطلوب هوية المستخدم
require_platform,منصة المطلوبة
file_na,غير متوفر
token_already_exist,عذرا، جهاز التوثيق بالفعل موجودة.
err_noti_register,عذرا، هناك مشكلة للتسجيل اضغط الإعلام.
success_noti_register,الجهاز بنجاح تسجيل للإعلام دفع.
success_noti_unregister,الجهاز غير مسجلة بنجاح لإعلام دفع.
err_noti_unregister,عذرا، هناك مشكلة لإلغاء التسجيل دفع الإخطار.
err_in_noti_read,عذرا، إعلام غير قادر على القراءة.
success_touch_count,تم إدخال عدد اللمس بنجاح.
backend_setting_module,إعداد الخلفية
backend_config_info_lable,الخلفية معلومات إعداد
sender_name_label,اسم المرسل
receive_email_label,استلام بريد الكتروني
sender_email_label,البريد الإلكتروني المرسل
img_section,القسم صورة
fcm_api_key_label,مفتاح API FCM
backend_login_img,الخلفية الدخول صورة الخلفية
backend_logo,الخلفية شعار
backend_fav_icon,الخلفية الصوت العربي الحر منظمة البن الدولية
upload_backend_logo,تحميل الخلفية شعار
upload_fav_icon,تحميل الصوت العربي الحر أيقونة
upload_login_img,إضافة أغاني دخول صور
pwd_reset_label,إعادة تعيين كلمة المرور
pwd_reset_link,الرجاء الضغط على الرابط التالي لإعادة تعيين كلمة المرور الخاصة بك
reset_link_label,إعادة تعيين كلمة المرور
best_regards_label,تحياتي الحارة
hi_admin_label,مرحبا الادارية
name_label,اسم
email_label,البريد الإلكتروني
phone_label,هاتف
msg_label,رسالة
bank_acc_label,حساب البنك :
bank_name_label,اسم البنك :
bank_code_label,رمز بنكي :
branch_code_label,رمز الفرع
swift_code_label,رمز السرعة
pay_met_cod,طريقة الدفع: نقدا عند التسليم
pay_met_paypal,طريقة الدفع: باي بال
pay_met_stripe,طريقة الدفع: الشريط
pay_met_bank,طريقة الدفع: التحويل المصرفي و<BR>
price_label,السعر :
unit_label,وحدة
shipping_cost_label,تكلفة الشحن
qty_label,الكمية
hi_label,مرحبا
order_receive_info,تلقي طلب جديد مع التالية من المعلومات.
trans_code,عبر. الشفرة
trans_status_label,عبر. الحالة
billing_cus_name,الفواتير اسم العميل
billing_add1,عنوان الفوترة 1
billing_add2,عنوان الفواتير 2
billing_phone,فوتير الهاتف
billing_email,البريد الالكتروني لقوائم الدفع
billing_shipping_name,الفواتير اسم شحن
shipping_add1,عنوان الشحن 1
shipping_add2,عنوان الشحن 2
shipping_phone,الشحن الهاتف
shipping_email,الشحن البريد الإلكتروني
memo_label,مذكرة
zone_shipping,منطقة الشحن
prd_detail_info,تفاصيل المنتج المعلومات في أدناه
sub_total,المجموع الفرعي
coupon_dis_amount,كوبون خصم المبلغ (-)
overall_tax,عموما الضرائب (+)
shipping_cost,تكلفة الشحن (+)
shipping_tax,الشحن الضرائب (+)
total_bal_amt,إجمالي الرصيد المبلغ
no_country_available,عذرا، الدول الشحن غير متوفرة.
shop_label,محلات
user_label,إدارة المستخدمين
btn_contact,الاتصال بنا رسالة
btn_api_keys,المعهد مفاتيح
btn_paypal_config,تكوين باي بال
trans_code_label,رمز العملية
lang_active,نشيط
shop_approve_label,تهانينا! تمت الموافقة على متجرك. حتى تتمكن من الدخول مع البريد الإلكتروني المسجل وكلمة المرور.
shop_reject_label,آسف! تم رفض متجرك. إذا كان لديك أي أسئلة، يرجى قطرة رسالة إلى contact@ps.com
success_register_edit,تم تحديث السجل متجر بنجاح
success_register_add,تمت إضافة السجل متجر بنجاح
btn_reject_shop,رفض قوائم للتسوق
shop_reg_label,وقد تم تسجيل متجر جديد. يرجى إلقاء نظرة مزيد من التفاصيل في أدناه
shop_phone_label,متجر الهاتف
shop_add_label,متجر العناوين
user_email_label,البريد الالكتروني للمستخدم
shop_reg_done,وقد تم تسجيل متجرك. بعد استعرضنا ثم فإننا نعود اليكم لنتيجة من عملية الموافقة. هنا بعض المعلومات عن محلك
new_user_register,جديد التسجيل في حساب المستخدم
user_register_success_but_email_not_send,تسجيل المستخدم النجاح ولكن لا ترسل البريد الإلكتروني
verify_code_sent,تم إرسال رمز التحقق
new_shop_register,وقد تم تسجيل متجر جديد.
success_shop_register,وقد تم تسجيل محلك.
shop_approve,تمت الموافقة على متجرك.
shop_reject,تم رفض متجرك.
no_record_found,لا يوجد سجلات
approval_shop_login,عذرا، متجر الخاص بك لا يوافق حتى الان.
pls_shop_tag,الرجاء اختيار متجرك
f_user_pass_required,الرجاء إدخال العضو كلمة المرور
write_reply_label,اكتب رد ...
go_to_paypal_label,الانتقال إلى باي بال
f_shop_create_success_title,تهنئة!
f_shop_create_success_text,وقد تم تسجيل متجرك وسيقوم فريق موافقتنا للاطلاع عليه. سيتم إعلامك عن طريق البريد الإلكتروني إذا تمت الموافقة متجر المسجل.
go_to_shop_register,الانتقال إلى محل التسجيل
f_user_pass_length,يجب أن يكون طول العضو كلمة أكبر من 4
f_user_conf_required,الرجاء إدخال العضو تأكيد كلمة المرور
f_user_conf_length,يجب أن يكون طول العضو تأكيد كلمة المرور أكبر من 4
err_description_label,يرجى تقديم وصف
err_shop_tag_label,يرجى تقديم بطاقة متجر
btn_approved_shop,محل موافقة
select_status,حدد بالموافقة أو الرفض؟
paypal_success_label,باي بال بنجاح !!!
btn_shop_tag,متجر العلامات
btn_register_user,سجل العضو
shop_name_label,اسم المحل
multiple_upload_module,المنتجات متعددة تحميل
analytics_module,تحليلات
success_rating_delete,تم حذف تصنيف بنجاح
no_country_available,عذرا ، دول الشحن غير متوفرة.
rating_yes_all_message,هل أنت متأكد من حذف هذه التصويت؟
delete_rating_label,التصويت الحذف؟
success_trans_delete,تم حذف بنجاح عملية
trans_yes_all_message,هل أنت متأكد من حذف هذه عملية؟
delete_trans_label,عملية الحذف؟
err_user_pass_len,يجب أن يكون طول العضو كلمة أكبر من 4
err_user_pass_conf_bank,يجب أن يكون طول كلمة السر العضو تأكيد أكبر من 4
new_user_acc,تم إنشاء حساب المستخدم الجديد الخاص بك. مرحبا بك فيFlutter Multi Restaurant. يرجى التحقق من الرمز الموجود أدناه لتنشيط حسابك.
verify_code_label,كود التحقق
smtp_section,تكوين SMTP
smtp_host_label,المضيف SMTP
smtp_host_placeholder,على سبيل المثال: SSL: //smtp.hostmail.com
smtp_port_label,رقم منفذ SMTP
smtp_enable,SMTP تمكين؟
smtp_user_label,SMTP العضو
smtp_pass_label,SMTP كلمة المرور
success_backend_edit,تم تحديث إعداد الخلفية بنجاح
topics_label,المواضيع
dashboard_label,لوحة القيادة
back_to_shop,العودة إلى قائمة التسوق
lang_deactive,معطل
cannot_deactive,ذرًا ، لا يمكن إلغاء التنشيط.
err_symbol_exist,مز اللغة موجود بالفعل في النظام
paypal_info,معلومات باي بال
price,السعر
currency_code,رمز العملة
api_username,المعهد اسم العضو
api_password,المعهد كلمة المرور
api_signature,المعهد التوقيع
application_id,رقم الاستمارة
developer_email_account,حساب المطور البريد الإلكتروني
sandbox,رمل
api_version,صفحة المعهد
delete_system_user_label,حذف مستخدم النظام؟
system_user_delete_confirm_message,هل أنت متأكد من حذف مستخدم النظام هذا؟
entry_label,دخول
payment_status_module,حالة السداد
trans_status_module,حالة عملية
deliboys_module,إدارة توصيل الصبي
deli_status_title,عنوان
deli_status_add,إضافة حالة التسليم
err_deli_status_name,يرجى تقديم عنوان حالة التسليم
err_deli_status_len,يجب أن يكون طول عنوان حالة التسليم أكبر من 4
err_deli_status_exist,حالة التسليم موجودة بالفعل
deli_status_search,حالة تسليم البحث
deli_status_edit,تعديل حالة التسليم
success_deli_status_edit,تم تعديل حالة التسليم بنجاح.
success_deli_status_add,تمت إضافة حالة التسليم بنجاح.
success_deli_status_delete,تم حذف حالة التسليم بنجاح.
deli_status_yes_all_message,هل أنت متأكد من حذف حالة التسليم هذه؟
delete_deli_status_label,هل تريد حذف حالة التسليم؟
pay_status_info,معلومات حالة الدفع
err_pay_status_name,يرجى تقديم عنوان حالة الدفع
err_pay_status_len,يجب أن يكون طول حالة الدفع أكبر من 4
err_pay_status_exist,حالة الدفع موجودة بالفعل.
pay_status_add,أضف حالة الدفع
pay_status_search,ابحث عن حالة الدفع
pay_status_edit,تحرير حالة الدفع
success_pay_status_edit,تم تعديل حالة الدفع بنجاح
success_pay_status_add,تمت إضافة حالة الدفع بنجاح
success_pay_status_delete,تم حذف حالة الدفع بنجاح.
delete_pay_status_label,حذف حالة الدفع؟
pay_status_yes_all_message,هل أنت متأكد من حذف حالة الدفع هذه؟
trans_status_info,معلومات حالة المعاملة
err_trans_status_name,يرجى تقديم عنوان حالة المعاملة
err_trans_status_len,يجب أن يكون طول حالة المعاملة أكبر من 4
err_trans_status_exist,حالة المعاملة موجودة بالفعل
trans_status_search,حالة معاملة البحث
trans_status_add,إضافة حالة المعاملة
delete_trans_status_label,حذف حالة المعاملة؟
trans_status_edit,تحرير حالة المعاملة
success_trans_status_edit,تم تعديل حالة المعاملة بنجاح.
success_trans_status_add,تمت إضافة المعاملة بنجاح.
success_trans_status_delete,تم حذف حالة المعاملة بنجاح.
trans_status,حالة المعاملات:
trans_status_yes_all_message,هل أنت متأكد من حذف حالة المعاملة هذه؟
deli_status_ordering,الطلب
final_stage_delete,المرحلة النهائية غير قادرة على الحذف.
final_stage,المرحلة الأخيرة
add_on_module,اضافه
food_add_img,أضف على الصورة
food_add_name,أضف على الاسم
food_add_description,وصف
food_add_price,السعر
food_additional_info,إضافة معلومات
err_food_add_name,يرجى تقديم إضافة على الاسم.
err_food_add_len,يجب أن يكون طول اسم الإضافة أكبر من 4
err_food_add_exist,إضافة على الاسم موجود بالفعل
food_additional_add,أضف إضافة
additional_search,بحث إضافة
additional_edit,تحرير إضافة على
success_additional_edit,تم تحديث الإضافة بنجاح.
success_additional_add,تمت إضافة الإضافة بنجاح.
success_additional_delete,تم حذف الإضافة بنجاح.
prd_addon_label,حدد إضافة
prd_ordering,الطلب
prd_ingredient,المكونات
prd_nutrient,العناصر الغذائية
shipping_areas_module,منطقة الشحن
shp_area_price,السعر
err_shp_area_name,الرجاء اسم منطقة الشحن
shp_area_info,معلومات منطقة الشحن
shp_area_add,إضافة منطقة شحن
err_shp_area_exist,منطقة الشحن موجودة بالفعل
success_shp_area_edit,تم تحرير منطقة الشحن.
shp_area_edit,تعديل منطقة الشحن
success_shp_area_add,تمت إضافة منطقة الشحن بنجاح.
success_shp_area_delete,تم حذف منطقة الشحن.
shp_area_name,اسم المنطقة
shp_area_search,البحث عن منطقة الشحن
err_shp_area_len,يجب أن يكون طول منطقة الشحن أكبر من 4
delete_shp_area_label,هل تريد حذف منطقة الشحن؟
shp_area_delete_confirm_message,هل أنت متأكد من حذف منطقة الشحن هذه؟
fcm_api_key_deli_boy_label,تسليم بوي مفتاح FCM المعهد
policy_info,خصوصية المعلومات سياسة
content_label,المحتوى
privacy_policy_module,سياسة الخصوصية
success_policy_edit,تم تحديث سياسة الخصوصية بنجاح
success_policy_add,تمت إضافة سياسة الخصوصية بنجاح
not_yet_activate,حسابك يتم تنشيط حتى الان.
user_status,حالة المستخدم
order_submit,الطلب المقدم
deliveried,ديليفيريد
price_level,مستوى السعر
highlighted_info,معلومات المبرز
deli_status_module,حالة التوصيل
payment_status_module,حالة السداد
delete_deliboy_label,حذف صبي التسليم؟
deliboy_delete_confirm_message,هل أنت متأكد من حذف هذه تسليم بوي؟
success_deliboy_delete,لقد تم حذف تسليم الصبي بنجاح
restaurant_version,Flutter Restaurant الإصدار
deliboy_version,تسليم النسخة الصبي
razor_enabled_label,تمكين الشفرة؟
razor_label,[الخيار 6]: الدفع مع الشفرة
razor_key_label,الحلاقة مفتاح
banktransfer_label,[الخيار 3]: الدفع باستخدام التحويل المصرفي
module_group_lang,مجموعة الوحدات
group_name,اسم مجموعة الوحدة النمطية
group_icon,رمز مجموعة الوحدة النمطية
group_lang_key,مفتاح اللغة
group_info,معلومات مجموعة الوحدة النمطية
group_search,مجموعة وحدة البحث
group_add,إضافة مجموعة الوحدة النمطية
success_group_edit,تم تعديل مجموعة الوحدة بنجاح
success_group_add,تمت إضافة مجموعة الوحدة النمطية بنجاح
group_edit,تحرير مجموعة الوحدة النمطية
success_group_delete,تم حذف مجموعة الوحدة النمطية بنجاح
err_group_name,يرجى تقديم مجموعة الوحدة النمطية
err_group_len,يجب أن يكون طول اسم مجموعة الوحدة النمطية أكبر من 4
err_group_exist,اسم مجموعة الوحدة النمطية موجود بالفعل
module_lang,وحدة
module_desc,وصف
module_ordering,الطلب
module_add,أضف الوحدة
module_info,معلومات الوحدة
module_name,اسم وحدة
is_show_on_menu,هل تظهر في القائمة؟
module_lang_key,مفتاح لغة الوحدة
module_select_group,حدد مجموعة الوحدة النمطية
delete_module_label,حذف الوحدة؟
module_delete_confirm_message,هل أنت متأكد من حذف هذه الوحدة؟
delete_group_label,حذف مجموعة الوحدة النمطية؟
group_delete_confirm_message,هل أنت متأكد من حذف مجموعة الوحدة هذه؟
err_module_name,يرجى تقديم اسم الوحدة
err_module_len,يجب أن يكون طول اسم الوحدة أكبر من 4
err_module_exist,اسم الوحدة موجود بالفعل
module_search,اسم وحدة البحث
success_module_edit,تم تحديث الوحدة بنجاح.
success_module_add,تمت إضافة الوحدة بنجاح.
module_edit,تحرير الوحدة
success_module_delete,تم حذف الوحدة بنجاح.
payment_not_select,يرجى تحديد الدفع
about_location_section,معلومات الموقع
opening_hour_label,ساعة الافتتاح
closing_hour_label,ساعة إغلاق
closed_date_label,التسجيل مغلق
closed_date_example,على سبيل المثال ل. أغلقت في كل يوم
rest_lat_label,خط العرض
rest_lng_label,خط الطول
user_phone_label,الهاتف المستخدم
about_me,عني
deliboy_info,تسليم معلومات بوي
user_phone,هاتف
product_price,سعر المنتج
product_title,عنوان
product_desc,وصف
select_pay_status,اختر الحالة الدفع
select_deli_boy,اختر تسليم بوي
trans_prd_checkout,عذرًا ، أحد المنتجات التي اخترتها غير متوفر في نظامنا.
err_user_name_blank,يرجى تقديم اسم المستخدم
err_user_pass_blank,يرجى توفير كلمة مرور المستخدم
err_user_pass_conf_blank,يرجى تقديم المستخدم تأكيد كلمة المرور
err_user_pass_conf_not_match,لا تتم مطابقة كلمة المرور وتأكيد كلمة المرور
err_user_name_len,يجب أن يكون طول اسم المستخدم أكبر من 4
err_user_email_invalid,عذرا، البريد الإلكتروني غير صالح
user_mang_group,إدارةالمستخدم
img_configuration,تكوين الصورة
land_width_label,عرض أفقي
potrait_height_label,ارتفاع الصورة
square_label,ارتفاع مربع
err_shop_name,يرجى تقديم اسم المحل.
err_shop_len,يجب أن يكون طول اسم المحل أكبر من 4.
err_shop_exist,وجود اسم المحل بالفعل في النظام.
user_banned,عذرا، تم حظر الحساب الخاص بك.
err_user_not_existed,لا موجودة حسابك في النظام.
err_lat_lng,يجب ألا يكون خط العرض وخط الطول 0.0.
record_not_found,عذرا ، سجل غير موجود.
no_record_pagination,آسف ، لا مزيد من التسجيل في النظام.
email_verification_enabled,رسالة التحقق ممكن؟
minimum_order_amount,الحد الأدنى للطلب
approve_message-1,تهنئة! تسليم وافق بوي (
approve_message_2,)
reject_message_1,آسف! تسليم رفضت بوي (
reject_message_2,)
trans_shop_checkout,آسف، واحد من المحلات التجارية التي اخترتها ليست متاحة في نظامنا.
banusers_module,قائمة المستخدمين الحظر
btn_view,رأي
btn_back,عودة
additional_delete_confirm_message,هل أنت متأكد من حذف هذه الأغذية إضافية؟
delete_additional_label,حذف غذائية إضافية؟
btn_shop_rating,متجر التصويت
rating_shop_name,تصنيف اسم المحل
rating_description,تصنيف الوصف
shop_rate_info,تصنيف معلومات للتسوق
error_deli_boy,عذرا، لم يكن لديك الوصول إلى تسجيل الدخول الخلفية
user_auto_approved,تم إنشاء حساب المستخدم الجديد الخاص بك. مرحبا بك فيFlutter Multi Restaurant.
reservation_lang_module,التحفظات
restaurant_branches_module,فروع المطعم
success_res_edit,تم تحديث الحجز بنجاح
success_res_add,تم إضافة الحجز بنجاح
resv_info,معلومات الاحتياطي
resv_date_label,تاريخ الحجز (اليوم / الشهر / السنة)
resv_time_label,وقت الحجز (HH: MM) تنسيق 24 ساعة
reserved_by,محفوظة بواسطة
resv_note,مذكرة إضافية
resv_status,حالة الحجز
trans_delivery_pickup_date,تاريخ الاستلام:
trans_delivery_pickup_time,وقت التسليم:
pickup_message,رسالة لاقط
pickup_label,[الخيار 6]: الدفع مع الاستلام
pickup_enabled,هل تم تمكين الاستلام؟
cus_pick_up_order,سوف يستلم العميل هذا الطلب.
success_logout,كان المستخدم بنجاح الخروج.
paystack_setting,إعداد Paystack
paystack_label,[الخيار 6]: الدفع مع Paystack
paystack_key_label,Paystack مفتاح
paystack_enabled_label,وPaystack ممكن؟
btn_duplicate,مكرر
success_prd_duplicate_add,تمت إضافة عنصر مكرر بنجاح ،
paystack_setting,إعداد Paystack
paystack_label,[الخيار 7]: الدفع مع Paystack
paystack_key_label,Paystack مفتاح
paystack_enabled_label,وPaystack ممكن؟
btn_duplicate,مكرر
success_prd_duplicate_add,تمت إضافة عنصر مكرر بنجاح ،
maximum_order,أقصى ترتيب
pls_maximum_order,إرضاء الحد الأقصى ترتيب
deeplink_section,تكوين ربط عميق
dyn_link_key_label,مفتاح الارتباط الديناميكي
dyn_link_url_label,رابط ديناميكي URL
dyn_link_package_name_label,اسم حزمة الارتباط الديناميكي
dyn_link_domain_label,مجال الربط الديناميكي
dyn_link_deep_url_label,رابط عميق للرابط
prd_dynamic_link_label,رابط ديناميكي للمنتج
btn_duplicate,مكرر
success_prd_duplicate_add,تمت إضافة عنصر مكرر بنجاح ،
dyn_link_package_name_ios,دينامية ربط IOS اسم الحزمة
dyn_link_ios_appstore_id,ارتباط ديناميكي IOS أبستور رقم
prd_image,صورة المنتج
key_and_user_not_match,لا تتم مطابقة مفتاح والعضو.
user_not_permission,ليس لديك إذن لهذه الوحدة.
user_not_action,كنت لا يحصلون على القيام بذلك عمل.
not_login_access,لم يكن لديك الوصول إلى تسجيل الدخول.
deliver_distance_label,مسافة التسليم
deli_charges_label,رسوم التسليم لكل ميل
fixed_deli_fee_label,رسوم التسليم الثابتة
deliver_unit_label,وحدة التسليم
is_area_label,منطقة
not_calculate_deli_fee,لن يحسب رسوم التسليم.
deli_fee_by_distance_label,رسوم التسليم عن بعد
deli_fee_formula,الصيغة: (المسافة بين العملاء والتسوق) X (رسوم - لكل 1 ميل)
fixed_delivery_label,تسليم ثابت
fixed_delivery_fee,رسوم التوصيل المجانية
free_delivery_label,توصيل مجاني
monday_label,الإثنين
tuesday_label,يوم الثلاثاء
wednesday_label,الأربعاء
thursday_label,يوم الخميس
friday_label,جمعة
saturday_label,السبت
sunday_label,يوم الأحد
err_monday,يرجى تقديم ساعة الاثنين.
err_tuesday,يرجى تقديم ساعة الثلاثاء.
err_wednesday,يرجى تقديم ساعة الأربعاء.
err_thursday,يرجى تقديم ساعة الخميس.
err_friday,يرجى تقديم ساعة الجمعة.
err_saturday,يرجى تقديم ساعة السبت.
err_sunday,يرجى تقديم ساعة الأحد.
invalid_monday,يوم الاثنين المقارب غير صالح.
invalid_tuesday,الثلاثاء المقبل ساعة غير صالحة.
invalid_wednesday,الأربعاء المقبل ساعة غير صالحة.
invalid_thursday,الخميس المقبل ساعة غير صالحة.
invalid_friday,يوم الجمعة المقرب غير صالح.
invalid_saturday,السبت المقارب ساعة غير صالحة.
invalid_sunday,يوم الأحد المقارب غير صالح.
cannot_order_food,أنت بعيد عن المحل.
shop_schedule_label,جدول متجر
is_refundable_label,غير قابلة للاسترداد على؟ (إذا كان النظام يمكن استرداد المستخدم في حالة المعاملة هذه).
cannot_refund_stage,لا يمكن استرداد الطلب في حالة المعاملة هذه.
cannot_refund_payment,لا يمكن استرداد طريقة الدفع هذه.
order_refund_subject,تم رد طلبك.
already_refunded,طلب طلبك بالفعل.
refunded_orders_search,أوامر رد
stripe_refund_failed,فشل استرداد الشريط.
order_refund_info,يتم استرداد الطلب مع المعلومات التالية.
refunded_amount,المبلغ المسترد
refund_orders_module,أوامر رد
paypal_refund_failed,فشل استرداد paypal.
paypal_client_id_label,معرف عميل PayPal
paypal_secret_key_label,مفتاح باي بال السري
transaction_refresh_section,صفحة المعاملة وتكوين تحديث الصوت NOTI
transaction_page_time_label,صفحة المعاملة وقت منعش السيارات
transaction_sound_time_label,المعاملة نوت يبدو أن وقت منعش الصوت
buyer_name,اسم المشتري
payment_method,طريقة الدفع او السداد
payment_status,حالة السداد
already_rating_deliboy,لقد صنفت بالفعل هذا الصبي التسليم.
overall_rating,تقييم عام
deliboy_rating_log_module,تسليم فتى تقييم سجلات
deliboy_list_label,جميع الأولاد التسليم
not_final_stage,لا يمكنك تقييم الآن لأن طلبك لم يصل إلى المرحلة النهائية حتى الآن.
not_yet_assigned_deliboy,الولادة الولادة لم يتم تعيين fot order حتى الآن.
deli_boy_not_existed,فتى التسليم لم يكن موجودا في النظام.
deli_boy_banned,تم حظر صبي التسليم من قبل المشرف.
rating_by_how_many_people,تصنيف عن طريق عدد الناس
review_label,إعادة النظر
joined_date,تاريخ الانضمام
delete_trans_label,حذف المعاملة؟
trans_yes_all_message,هل من المؤكد أن تحذف هذه المعاملة؟
success_trans_delete,تم حذف المعاملة بنجاح
minimum_order_cannot_zero,الحد الأدنى لترتيب الطعام لا يمكن أن يكون صفر.
maximum_order_cannot_zero,الحد الأقصى لترتيب الطعام لا يمكن أن يكون صفر.
err_user_email_blank,يرجى تقديم بريد إلكتروني للمستخدم.
best_choice,أفضل خيار
best_choice_add,أضف أفضل الاختيار
best_choice_name,اسم خيارك الأفضل
success_best_choice_delete,تم حذف الخيار الأفضل بنجاح.
success_best_choice_edit,تم تحديث أفضل خيار بنجاح.
success_best_choice_add,تمت إضافة أفضل خيار بنجاح.
delete_best_choice_label,حذف أفضل الخيار؟
best_choice_delete_confirm_message,هل تريد بالتأكيد حذف هذا الخيار الأفضل؟
err_best_choice_name,يرجى تقديم اسم خيارك الأفضل
err_best_choice_len,يجب أن يكون طول اسم المجموعة أكبر من 4
err_best_choice_exist,هذا الاسم الخيار الأفضل موجود بالفعل.
best_choice_photo,أفضل خيار الصورة
price_cannot_zero,السعر لا يمكن أن يكون صفر.
err_price_blank,يرجى تقديم السعر
err_coupon_code_blank,يرجى تقديم رمز القسيمة
err_coupon_code_len,يجب أن يكون طول كود القسيمة أكبر من 4
err_coupon_amount_blank,يرجى تقديم كمية القسيمة
err_coupon_amount_len,يجب أن يكون طول مبلغ القسيمة أكبر من 2
coupon_amount_cannot_zero,كمية الكوبون لا يمكن أن يكون صفر
err_shp_price_blank,يرجى تقديم منطقة الشحن السعر
dis_cannot_zero,خصم في المئة لا يمكن أن يكون صفر
err_price,يرجى تقديم سعر مخصص
cus_price_cannot_zero,سعر مخصص لا يمكن أن يكون صفر
err_curr_sym,يرجى تقديم رمز العملة
err_curr_short,يرجى تقديم نموذج العملات
delete_branch_label,حذف مطعم فرع؟
branch_delete_confirm_message,هل من المؤكد أنك تحذف فرع المطعم هذا؟
success_sys_user_delete,تم حذف مستخدم النظام بنجاح
best_choice_info,أفضل المعلومات الخيار
noti_sent_fail,أرسلت noti فشل
select_csv_file,حدد ملف CSV.
pls_upload_csv,يرجى تقديم ملف CSV
err_icon_missing,لم يتم تحميل أي ملف
csv_upload_instruction_1,يرجى اتباع تلك الخطوات في أدناه: <br> 1. تحميل الصور لتحميل مجلد يدويا عبر FTP. <br> 2. ثم تحضير مثل تنسيق CSV. عينة هنا:
csv_file_sample_link,"<a href=""https://bit.ly/3G4MvHj"" target=""_blank"">https://bit.ly/3G4MvHj</a> "
csv_upload_instruction_2,<br> 3. يمكنك استخدام ورقة Google لإنشاء وتصدير كفاصل فاصلة.
flutter_wave_label,[الخيار 7]: الدفع مع موجة رفرفة
flutter_wave_publishable_key,رفرفة موجة المفتاح العام
flutter_wave_encryption_key,مفتاح تشفير الموجة الموجة
flutter_wave_enable_label,تم تمكين دفع موجة رفرفة؟
search_keyword_section,البحث عن طريق تكوين الكلمات الرئيسية
search_in_shop,البحث في متجر
search_in_category,البحث في الفئة
search_in_product,البحث في المنتج
search_in_shop_limit,البحث في حد المحل
search_in_category_limit,البحث في فئة الحد
search_in_product_limit,البحث في حد المنتج
success_user_sch_delete,تم حذف جدول المستخدم بنجاح.
err_delete_sch_detail,هناك خطأ عند حذف تفاصيل جدول المستخدم.
err_delete_sch,هناك خطأ عند حذف جدول المستخدم.
schedule_orders_module,الجدول الزمني أوامر
search_in_subcategory,البحث في الفئة الفرعية
search_in_subcategory_limit,البحث في حد الفئة الفرعية
checkout_with_whatsapp,الخروج مع whatsapp.
checkout_with_email,الخروج مع تدفق المعاملات الطبيعية
one_page_checkout,صفحة واحدة الخروج
multi_page_checkout,تسجيل صفحة متعددة
err_choice_one,"يرجى اختيار واحد ""صفحة واحدة الخروج"" أو ""تسجيل صفحة متعددة"""
checkout_with_whatsapp_des,سيقوم المستخدم بإجراء تطبيق Checkout WhatsApp. لن تكون بيانات المعاملات تخزينها في الخلفية.
checkout_with_email_des,تدفق المعاملات الافتراضية.
one_page_checkout_des,سوف تظهر شاشة بسيطة شاشة واحدة. إنه لسهولة الخروج.
multi_page_checkout_des,سوف تظهر الخروج خطوة الخروج. لذلك، سوف يرى المستخدم شاشة متعددة عند الخروج.
